dataset                    KID->ref      ±  Cover   Dens   Vendi  PairD  A-dist  clfAcc  #patch
matan_train                    0.00   0.00  0.962  0.583     5.3  0.267   0.319   0.580    5964
human                          0.14   0.00  0.115  0.098     5.6  0.271   1.973   0.993    2962
composed250k                   0.23   0.01  0.132  0.111     5.7  0.275   1.971   0.993    5977
synth_modern                   0.12   0.00  0.393  0.308     4.4  0.239   1.944   0.986    5999
connected3                     0.23   0.01  0.152  0.071     6.5  0.314   1.942   0.985    6000
matan(self-split)              0.00   0.00  0.966  0.627     5.4  0.270   0.105   0.526    4348
